name,max_depth,max_features,max_samples,min_samples_leaf,n_estimators,test_score_default,test_score_tuned,improvement,total_data_points,samples,features,classes
mfeat-factors,21,0.027,0.725,2,550,0.975,0.965,-0.01,432000,2000,216,10
electricity,66,0.841,0.874,1,250,0.913,0.921,0.01,362496,45312,8,2
optdigits,57,0.231,0.836,1,150,0.978,0.978,0.00,359680,5620,64,10
letter,57,0.231,0.836,1,150,0.968,0.968,0.00,320000,20000,16,26
spambase,39,0.102,0.458,1,400,0.949,0.945,0.00,262257,4601,57,2
satimage,57,0.231,0.836,1,150,0.906,0.898,-0.01,231480,6430,36,6
splice,60,0.065,0.601,3,800,0.958,0.972,0.01,191400,3190,60,3
ozone-level-8hr,30,0.409,0.794,2,250,0.945,0.943,0.00,182448,2534,72,2
pendigits,57,0.231,0.836,1,150,0.992,0.991,0.00,175872,10992,16,10
mfeat-fourier,30,0.180,0.766,2,600,0.840,0.825,-0.02,152000,2000,76,10
wall-robot-navigation,18,0.673,0.854,1,200,0.992,0.998,0.01,130944,5456,24,4
mfeat-karhunen,63,0.093,0.713,2,800,0.965,0.975,0.01,128000,2000,64,10
kr-vs-kp,18,0.847,0.814,1,600,0.994,0.998,0.00,115056,3196,36,2
churn,39,0.343,0.871,2,450,0.952,0.949,0.00,100000,5000,20,2
mfeat-zernike,39,0.310,0.968,2,400,0.785,0.800,0.02,94000,2000,47,10
analcatdata_authorship,63,0.093,0.713,2,800,0.988,1.000,0.01,58870,841,70,4
pc3,18,0.847,0.814,1,600,0.907,0.907,0.00,57831,1563,37,2
pc4,63,0.752,0.385,3,250,0.901,0.904,0.00,53946,1458,37,2
steel-plates-fault,66,0.841,0.874,1,250,0.799,0.787,-0.01,52407,1941,27,7
kc1,60,0.712,0.899,3,300,0.855,0.863,0.01,44289,2109,21,2
qsar-biodeg,63,0.190,0.550,2,50,0.886,0.886,0.00,43255,1055,41,2
segment,57,0.231,0.836,1,150,0.937,0.946,0.01,36960,2310,16,7
phoneme,18,0.673,0.854,1,200,0.913,0.916,0.00,27020,5404,5,2
wilt,45,0.762,0.785,2,750,0.982,0.983,0.00,24195,4839,5,2
pc1,6,0.925,0.410,1,450,0.932,0.937,0.00,23289,1109,21,2
credit-g,30,0.180,0.766,2,600,0.710,0.730,0.02,20000,1000,20,2
wdbc,54,0.000,0.559,2,600,0.921,0.921,0.00,17070,569,30,2
vehicle,57,0.231,0.836,1,150,0.759,0.765,0.01,15228,846,18,4
cmc,57,0.949,0.991,7,400,0.502,0.529,0.03,13257,1473,9,3
mfeat-morphological,15,0.711,0.344,2,150,0.695,0.705,0.01,12000,2000,6,10
vowel,57,0.231,0.836,1,150,0.970,0.955,-0.02,11880,990,12,11
kc2,24,0.978,0.910,38,750,0.790,0.781,-0.01,10962,522,21,2
car,24,0.936,0.803,1,650,0.968,0.977,0.01,10368,1728,6,4
climate-model-simulation-crashes,54,0.945,0.992,2,750,0.935,0.954,0.02,9720,540,18,2
tic-tac-toe,9,0.405,0.870,1,100,0.984,0.984,0.00,8622,958,9,2
diabetes,54,0.899,0.437,14,50,0.747,0.766,0.02,6144,768,8,2
ilpd,21,0.524,0.929,2,50,0.658,0.675,0.02,5830,583,10,2
banknote-authentication,24,0.936,0.803,1,650,0.996,0.993,0.00,5488,1372,4,2
analcatdata_dmft,9,0.203,0.166,11,150,0.150,0.194,0.04,3188,797,4,6
blood-transfusion-service-center,27,0.991,0.879,7,50,0.740,0.807,0.07,2992,748,4,2
balance-scale,48,0.510,0.128,1,150,0.840,0.912,0.07,2500,625,4,3