Name,Samples,Features,NumClasses,DefaultRFScore,TunedRFScore,DefaultXGBScore,TunedXGBScore,DRFScore > TRFScore,DRFScore > DXGBScore,DRFScore > TXGBScore
Australian,690,14,2,87.26,86.08,86.94,87.53,1,1,0
Banknote,1371,5,2,99.34,99.13,99.64,99.64,1,0,0
Breast Cancer,699,10,2,96.99,96.85,96.28,95.99,1,1,1
Dermatology,366,33,6,97.27,97.3,96.74,97.27,0,1,0
Diabetes,768,20,2,76.69,76.69,75.65,76.56,0,1,1
Echo,74,12,2,98.75,97.32,94.46,98.75,1,1,0
Ecoli,336,8,8,89.07,89.11,86.87,89.05,0,1,1
German,1000,20,2,76.4,75.8,79,77.4,1,0,0
Heart,270,13,2,83.33,84.44,79.26,84.07,0,1,0
Heart Cleveland,303,75,5,82.46,82.46,81.14,83.16,0,1,0
Hepatitis,155,19,2,65.54,61.83,59.21,67,1,1,0
Ionosphere,351,34,2,93.44,93.16,92.56,92.59,1,1,1
Iris,150,4,3,94.67,92.67,92.67,94,1,1,1
Liver,583,10,2,67.76,67.58,68.65,68.11,1,0,0
Magic04,19020,11,2,88.19,88.18,87.47,88.63,1,1,0
Parkinsons,197,23,2,90.7,90.7,92.14,90.14,0,0,1
Phishing,1353,10,3,88.63,89.51,89.65,91.13,0,0,0
Segment,2310,19,7,98.01,98.18,98.48,98.7,0,0,0
Sonar,208,60,2,83.64,85.59,85.59,86.97,0,0,0
Soybean,675,35,18,94.06,94.65,94.8,95.22,0,0,0
Spambase,4601,57,2,95.46,95.48,95.17,95.57,0,1,0
Teaching,151,5,3,65.51,63.41,63.55,64.26,1,1,1
Thyroid,215,21,3,96.75,96.28,95.8,95.8,1,1,1
Tic-Tac-Toe,958,9,2,95.52,95.62,96.56,100,0,0,0
Vehicle,946,18,4,74.5,74.13,78.74,77.18,1,0,0
Vowel,990,10,11,97.47,97.78,92.63,95.86,0,1,1
Waveform,5000,21,3,85.42,85.62,85.72,85.72,0,0,0
Wine,178,13,3,98.26,98.26,97.18,98.82,0,1,0